language,id,country,user_type,organization,surname,feedback,status,company_size,first_name,reference_initiative,date_feedback,publication,publication_id,publication_status,tr_number,scope,governance_level
en,2665640,DEU,other,Dr. Bublitz & Prof. Douglas,Bublitz and Douglas,"This feedback on the proposed EU Artificial Intelligence Act draws attention to shortcomings with respect to one specific issue: manipulative influences via AI systems on the thought and behavior of persons. It is jointly authored by Dr. Christoph Bublitz, a scholar on human rights and a co-PI in the research project Hybrid Mind: On the Blending of Artificial and Organic intelligence at the University of Hamburg; and Prof. Thomas Douglas, PI on the ERC project Protecting Minds: The Right to Mental Integrity and the Ethics of Arational Influence at the University of Oxford. 

AI systems can powerfully influence or weaken our control over our thoughts and behaviour, by dynamically adapting stimuli to our behaviour and inferred mental state. These influences may bypass or weaken our capacity to control our own thoughts and actions. When they do, they are manipulative. They may also threaten fundamental rights, including the rights to freedom of thought, freedom of opinion, and mental integrity, as guaranteed by the European Convention on Human Rights and the Charter of Fundamental Rights and Freedoms of the European Union. 

The proposed Regulation of Artificial Intelligence does not address central cases of manipulative influence via AI systems; it covers only the peripheral cases of subliminal interventions and interventions that exploit specific, vulnerable groups. Nor is the problem of manipulative influence via AI systems adequately addressed via other instruments, such as GDPR and consumer rights directives. 

The creation of trustworthy AI – a key objective of the Regulation – cannot succeed without a robust stance against manipulation. We therefore call upon the Commission to address and regulate  manipulative interferences more directly and comprehensively. In particular, we suggest classifying as high-risk AI systems that significantly influence thought or behaviour in ways that bypass rational control or significantly weaken rational control.

",PUBLISHED,micro,Dr.,COM(2021)206,2021-08-06 22:07:32,withinfo,24212003,closed,,,
en,2665639,DEU,academic_research_instittution,Institute for Social Science Research e.V. (ISF Munich),Huchler,"The Institute for Social Science Research e.V. (ISF Munich) (Germany) welcomes the EU proposal on the regulation of AI. From our own research we would like to contribute to the consultation:

On risk assessment (see 5.2.2) as well as classification of the risk of AI systems (Art.7):
The limits of operationalizability of risks must also be considered; in particular regarding latent non-reflective harm to individuals and society.
In addition to potential harm and dependence on the AI system, freedom of action during use (e.g. opt-out/configuration options and decision options for users) and for use (e.g., market structure/plurality of service) are also relevant.

Other suggested indicia of the level of risk:
- Extent of potential (de-)qualification/expropriation of relevant knowledge and skills: The ease of use must be weighed against the impact on individual and societal maturity, agency, and diversity (of opinions, scope of thinking, opportunities to develop interests etc.). One big risk of AI (especially machine learning) is that behavior, thinking, emotions are channeled (e.g. by reducing them to a manageable number of classifications) and based on probabilities and data with past reference. The result is social path dependencies - which have a latent effect on individuals and society. (discrimination is only one aspect of this phenomenon, as are filter bubbles, monopolization)
- Extent of clarity/(in)transparency in the regulation of agency. If AI systems act unseen, it must be clear that they are currently (in)active and with which task they are engaged. This is also important for attributing responsibilities. Especially for interactive AI, it must be clear whether AI is currently (co-)acting or not. The more unclear the question of activity is the more high risk the system is. This is also relevant when human supervision is required for AI systems with high risk. (Art. 14)

Emotion-sensitive AI:
- The risk of using emotion-sensitive AI needs to be considered (beyond law enforcement) in terms of latent effects on social self-conditioning of emotion expressions. Even in voluntary/private use contexts (emo trainers, control in smart homes, etc.), these systems can potentially lead to psychological and social harm through the instrumental use of emotion expressions and the reductive classification to a small number of functionalities. Too little evidence is available in this regard.
- If emotion-sensitive systems are systematically used as a substitute for human social relationships, considerable individual as well as social damage can occur. This concerns not only the decrease of social relationships, the standard of living, and value of life but also the danger of indirect emotional manipulation - be it only in the direction of a (e.g. consumption-oriented) conformism.

Quality of data:
Not only statistical quality criteria apply, but an evaluation of the content is also needed (by experts).

Trustworthiness:
Trustworthy AI systems need to be free of contradictions and shall not confront users with contradictions oder externalize their solution.

Accompanying measures:
Due to the latency of socially particularly relevant risks, the limited operationalizability of a holistic understanding of risk, and the fact that effects of technical systems are often determined by their implementation and use, flanking measures should be taken to the ex-ante risk assessment:
- An observatory of latent social and societal effects on individuals and society to determine linkages and measures of harm
- A impact assessment and employee participation (in companies)
- Low-threshold, timely and effective complaint mechanisms (in companies, in society)

Ultimately, a new category of damage (possibly psycho-social damage + societal damage) may be needed that is sensitive to medium- and long-term individual and societal damage and the reduction of the diversity of thought/language, interest and scope of action.
",PUBLISHED,small,Norbert,COM(2021)206,2021-08-06 21:53:51,withinfo,24212003,closed,,,
en,2665638,BEL,company,World Employment Confederation - Europe,de Boer,"Main points:
-	WEC-Europe welcomes the creation of a regulatory framework of AI that will improve predictability and a level playing field for the application of AI. 
-	Following its Code of Conduct, WEC-Europe is dedicated to improving labour market inclusiveness and fighting (un)conscious human bias from the recruitment process, irrespective of the software used in its services. 
-	WEC-Europe emphasizes that AI is a tool that can be programmed to identify these (un)conscious human biases and minimize them in recruitment procedures. As such, it welcomes the opportunities in the proposal to do so. It highlights that in contrast to this ambition, ‘users’ are unable to do so in the proposal. This prevents users' ability to countercheck providers and/or enhance de-biasing methodologies. Moreover, this shapes market dependencies that will not drive innovation and diversity.
-	WEC-Europe warns that the current definitions in the proposal of high-risk AI as well as recruitment is so broad it covers all software used in recruitment (and employment), including those that do not involve any automated decision-making or machine-learning that impact the risk the proposal seeks to mitigate. As such, the proposal’s definitions diminish the overall high-risk approach. 
-	WEC-Europe brings forward that this broad definition and the administrative requirements of the proposal will benefit large providers that are able to meet these. Thereby raising issues of AI market concentration, competition, innovation, and adoption.
-	WEC-Europe welcomes the decentral oversight mechanisms but emphasizes the need for clarity for business on the competent authority.
",PUBLISHED,micro,Jochem,COM(2021)206,2021-08-06 21:48:45,withinfo,24212003,closed,7438623236-16,,
en,2665637,GBR,company,Getty Images (UK) Ltd,Reinitz,Please see the attached recommendations which mainly focus on Article 52(3).,PUBLISHED,large,Paul,COM(2021)206,2021-08-06 21:48:22,withinfo,24212003,closed,428103943814-51,,
en,2665634,BEL,ngo,Amnesty International,westby,"The attached position paper sets out Amnesty International’s concerns around the key gaps and shortcomings in the EU’s proposal for an Artificial Intelligence Act. As it stands the proposed regulation falls far short of the measures that will be required to meaningfully protect people from harmful AI systems in the EU and globally. Amnesty International puts forward several recommendations for strengthening human rights protections in the final regulation, including: 
• an outright ban on uses of facial recognition and remote biometric recognition technologies that enable mass surveillance and discriminatory targeted surveillance. 
• third-party verification for all high-risk AI systems. 
• mandatory human rights due diligence for all AI systems. 
• measures to strengthen transparency and oversight of AI systems. 
• a complaints and redress mechanism for individuals that have suffered human rights harm linked to AI systems.",PUBLISHED,medium,joe,COM(2021)206,2021-08-06 21:38:04,withinfo,24212003,closed,11063928073-34,,
en,2665633,BEL,business_association,DIGITALEUROPE,Chasserieau,"Please find attached our detailed feedback, and a summary below.

DIGITALEUROPE welcomes the European Commission’s legislative proposal for a Regulation laying down harmonised rules on artificial intelligence (‘AI Act’). We have been a key partner to EU institutions on AI topics for years, having notably participated in the work of the Commission’s AI High-Level Expert Group. We are committed to keep supporting EU policymakers and to actively participate in the policy and technical discussions surrounding AI.

In the attached document, we present our initial assessment of the proposed AI Act, which will be complemented by an in-depth analysis with concrete recommendations at a later stage.

Find below an overview of our initial findings:
- The overall objectives and focus on high-risk cases is appropriate.
- The scope needs to be further refined to ensure legal certainty.
- Some of the requirements will be difficult to implement, especially if no harmonised standards are available.
- The allocation of responsibilities between providers and users should be reassessed to best reflect the complexity of AI systems and their value chain.
- Applying the EU product safety approach (New Legislative Framework) to AI will be challenging for most companies, particularly smaller software providers.
- Effective safeguards and coordination measures would help mitigate fragmentation, regulatory divergence and differing implementation by national authorities.
- High compliance costs and paperwork are expected, which would negatively impact businesses, particularly SMEs and start-ups.

DIGITALEUROPE looks forward to working with the European Parliament, the Council and the Commission to discuss and assess how to best improve and implement the proposed AI Act, so that it achieves its ambition of stimulating the development and uptake of trustworthy AI, in line with European values.",PUBLISHED,small,Julien,COM(2021)206,2021-08-06 21:19:10,withinfo,24212003,closed,64270747023-20,,
en,2665632,BEL,ngo,BETTER FINANCE ,Carlucci,Please see document attached,PUBLISHED,micro,Edoardo,COM(2021)206,2021-08-06 21:17:31,withinfo,24212003,closed,24633926420-79,,
en,2665629,NLD,ngo,ALLAI,Muller,See attached file,PUBLISHED,micro,Catelijne,COM(2021)206,2021-08-06 21:07:37,withinfo,24212003,closed,681704440014-85,,
en,2665628,BEL,other,European Federation of Psychologists’ Associations (EFPA),Evans,"EFPA, The European Federation of Psychologists (established 1981) has the mission to develop and apply psychology for a positive impact on European society and beyond. EFPA publications are regularly consulted to inform EU policy and process. Now consisting of 38 European country associations, EFPA represents almost half of the world’s Psychologists whose members are required to observe professional standards. Specifically, EFPA Board of Assessment, whose members have led on this response, convenes regularly to encourage and advance best practices in testing and assessment. 

EFPA thanks the EU Commission for their work thus far and agree the need for rules on Artificial Intelligence (AI) implementation to harness the full potential and benefits of this technology, while continuing to “put people first” in all instances. We applaud the proposal for requesting transparency and responsibility from organisations using AI.

However, we do have comments we hope are helpful as the regulations are debated:

(1)	EFPA suggests, as have several other organisations, that the risk-based approach in Title II be revised to contain more levels than the current three now proposed. This will provide better differentiation between the types of industries and organisations using AI. We agree with many of the comments that the current High-risk category is too general and needs to be more granular, so that the precautions mandated, and regulations implemented, are appropriate for the various industries engaged with AI technology. For example, psychological, occupational, health, and educational assessments have for decades utilised automated scoring processes (to minimise human error) which could be considered as “AI” technology within the current definition. However, the interpretation of the results of this scoring should only be carried out by a professional and never left to mere digital automation. 
Assessments in the field of psychology are created by scientific professionals for use by practitioners in psychology and related disciplines. We are committed to continued steps to bring attention to the importance of responsible and ethical applications. We promote this through guidelines, the distribution of publications, and presentation at conferences to encourage the highest levels of academic and practice review.

(2)	EFPA encourages care in imposing regulations for documentation on AI systems, particularly those related to assessment. Fairness and privacy are central to our work, and we regularly conduct research to ensure our assessments are fair for all individuals, particularly when used for high-stakes decisions (such as clinical diagnosis, employment, or university acceptances). We strongly adhere to the rule that assessments should always be built on the foundations of rigorous science; and would never advocate that decisions be based on one type of assessment tool (whether using AI or other process). 
Psychologists increasingly use AI technology, especially where it is shown to be beneficial to accuracy and fairness during test administration and interpretation. In these cases, many safeguards are given including: clear records of all applied methodologies and data models, employing human oversight, and monitoring against bias to foster inclusion. The regulations need to consider and reflect the current oversight and standards for fairness and privacy already utilised by psychologists.

(3)	EFPA urges regulators to hold public discussions with organisations and associations that have taken the time to provide specific feedback. These discussions can be part of your presentation to the European Parliament and Council, as the information we have provided, for example, would be critical in understanding the need for more differentiation in the guidelines. Any legislative debate would therefore be more informative for all concerned, and result in subsequent regulations that are transparent, reasonable, enforceable, and effective. ",PUBLISHED,micro,Nigel,COM(2021)206,2021-08-06 20:38:24,withinfo,24212003,closed,,,
en,2665627,SWE,eu_citizen,,Burden,"Please, see attached file since our response requires more than 4000 characters.
Best, Håkan",PUBLISHED,,Håkan,COM(2021)206,2021-08-06 20:13:49,withinfo,24212003,closed,,,
en,2665626,GBR,academic_research_instittution,University of Cambridge (Leverhulme Centre for the Future of Intelligence and Centre for the Study of Existential Risk),Clarke,"We are a group of academic researchers on AI with positions at the University of Cambridge’s Leverhulme Centre for the Future of Intelligence (LCFI) and Centre for the Study of Existential Risk (CSER), and the Universitat Politecnica de Valencia. We have published dozens of academic papers and reports on the ethics and governance of artificial intelligence. Our past work has included submissions on the HLEG’s Draft Ethics Guidelines and the White Paper. We have had many useful discussions with the Commission, including presenting at the 2020 AI Alliance Assembly at a session chaired by Eric Badique.

We are generally very supportive of the proposed regulation, and particularly the risk-based approach, which recognises the varying levels of risk posed by AI systems in different contexts. We are optimistic that, as the first legal framework for AI worldwide, the proposed regulation can help set standards internationally for enabling the benefits and mitigating the risks of this powerful set of technologies. However, the impact this regulation has will depend on many specific details of implementation, and on how it can interact with other evolving parts of the AI governance ecosystem. 

As researchers focused on the long-term societal impacts of AI, we are particularly concerned with how and to what extent the proposed regulation can:

1. Adapt to new capabilities and risks as they arise. 
Historically, regulation has often struggled to adapt as technologies evolve (Crootof, 2019; Picker, 2001). Ensuring adaptive regulation is particularly important - but also particularly challenging - for AI, where technological progress is rapid, interacts with other emerging technologies, and can have wide-ranging impacts. 

2. Manage the broader societal impacts of AI.
Like all technologies, AI may cause societal-level harms, even if their direct impact on individuals is minimal. For example, the use of AI to generate fake content online may reduce overall trust in scientific information in ways that could cause downstream harms, without harming individuals directly. 

In this submission we make some recommendations for how the proposed regulation could better address these two points, both in terms of (a) how the regulation classifies ‘high-risk’ systems, and (b) what requirements the regulation subjects those systems to. However, we also recognise that regulation is not always the most appropriate tool for addressing longer-term societal challenges. We therefore also make some suggestions for where the broader AI governance ecosystem may need to be strengthened to complement the proposed regulation, and how the European Commission can enable and respond to these changes.

In summary, our recommendations are to:
•	Empower the Commission to add high-risk AI systems to the list in Annex III that:
                 are under areas outside of those listed in points 1-8
                 pose a substantial risk of societal harm
•	Consider how to identify and regulate high-risk uses of general purpose systems
•	Consider how to regulate companies that may intentionally underemphasise the role that AI plays in their decision-making
•	Authorise the European Artificial Intelligence Board to propose changes to the regulation’s Annexes
•	Schedule specific timeframes on which to consider revisions to which AI systems are covered by the regulation
•	Broaden the current requirements to include evaluation of broader societal harms, beyond risks to health and safety or fundamental rights
•	Be aware of the risk of common specifications being ‘captured’ by industry, and maximise participation in the setting of these specifications to reduce this risk
•	Provide even further clarification and indicative examples in the Chapter 2
•	Connect the proposed regulation to a broader governance ecosystem",PUBLISHED,small,Samuel,COM(2021)206,2021-08-06 20:07:54,withinfo,24212003,closed,,,
